Phenotype	Fisher q<0.05	Adjusted q<0.05	Clean q<0.05	Representative retained	Representative Fisher-only
IBS	7	4	3	Escherichia-Shigella (1.29 -> 1.23)	Corynebacterium (0.29 -> 0.41)
IBD	9	7	8	Morganella (18.05 -> 16.94)	Prevotella_7 (0.10 -> 0.44)
Autoimmune	9	6	4	Bacteroides (1.34 -> 1.39)	Escherichia-Shigella (1.19 -> 0.99)
Acid reflux	10	3	1	Bacteroides (1.29 -> 1.28)	Prevotella_7 (0.12 -> 0.55)
CVD	6	0	0	--	Pasteurellaceae (8.77 -> 1.74)
Obesity	3	0	0	--	Prevotella_7 (2.75 -> not estimable)
Seasonal allergies	6	3	3	Prevotella_9 (0.75 -> 0.67)	Prevotella_7 (0.22 -> 1.11)
Diabetes	2	0	0	--	Streptococcus (0.28 -> 0.44)
CDI	2	1	2	Escherichia-Shigella (1.45 -> 1.48)	Prevotella_9 (0.47 -> 0.35)
Lung disease	3	1	0	Staphylococcus (1.26 -> 1.55)	Prevotella_7 (0.23 -> 0.89)
Migraine	2	1	0	Bacteroides (1.19 -> 1.16)	Corynebacteriaceae (0.20 -> 0.30)
Kidney disease	0	2	2	Lactobacillus (3.50 -> 5.85)	--
