term	estimate	std_error	statistic	ci_low	ci_high	p_value	term_group
(Intercept)	2.34062390657882	0.150883733257918	15.5127650677744	2.0448917893933	2.63635602376434	2.84364657603469e-54	intercept
log10_Fp	0.0263087569392603	0.0475726847968826	0.553022328918134	-0.0669337052626296	0.11955121914115	0.580248120449859	main_effect
cross_feeding	0.00284046960192576	0.0326869022013516	0.0868993208481012	-0.0612258587127234	0.0669067979165749	0.930751539364176	main_effect
oxy_tolerators	0.00907183578755276	0.0256975453042367	0.35302343784786	-0.0412953530087511	0.0594390245838567	0.724070869494137	main_effect
bacteroides_bg	-0.0744423580249992	0.0549028535739611	-1.3558923294345	-0.182051951029963	0.0331672349799645	0.175133428441639	main_effect
mucin_context	0.00789874100011596	0.0259400263610668	0.30450011461712	-0.042943710667575	0.0587411926678069	0.760746905436245	main_effect
log10_Fp:cross_feeding	-0.00525932921892032	0.00823688419762584	-0.638509549574127	-0.021403622246267	0.0108849638084263	0.523142039702128	interaction
log10_Fp:oxy_tolerators	0.0105401905370559	0.00709502752752184	1.48557429779803	-0.00336606341688685	0.0244464444909988	0.137391757628753	interaction
log10_Fp:bacteroides_bg	-0.0148496550128402	0.0113486662975919	-1.30849340560761	-0.0370930409561202	0.00739373093043982	0.190706009804675	interaction
log10_Fp:mucin_context	0.00200692304709402	0.00844222557659903	0.237724404410254	-0.0145398390830401	0.0185536851772281	0.812094854218856	interaction
