context	level	context_value	slope_log10Fp	slope_ci_low	slope_ci_high
cross_feeding	low (Q1)	-1.36264438382781	0.00563513743337369	-0.030947781017595	0.0422180558843424
cross_feeding	median	-0.865298241288021	0.00301943033399689	-0.0351966682267171	0.0412355288947109
cross_feeding	high (Q3)	-0.518125974126027	0.00119353708531301	-0.039082529059871	0.041469603230497
oxy_tolerators	low (Q1)	-3.22969596314656	-0.00884851000134295	-0.047425951824023	0.0297289318213371
oxy_tolerators	median	-2.10372577374477	0.00301943033399689	-0.0351966682267171	0.0412355288947109
oxy_tolerators	high (Q3)	-1.00021636531767	0.0146506297582524	-0.0290420236442631	0.0583432831607679
bacteroides_bg	low (Q1)	-0.541666924372245	0.0075752808901367	-0.0289834593063129	0.0441340210865863
bacteroides_bg	median	-0.234868513755941	0.00301943033399689	-0.0351966682267171	0.0412355288947109
bacteroides_bg	high (Q3)	-0.0876024392697866	0.000832579932782272	-0.0385760665841668	0.0402412264497314
mucin_context	low (Q1)	-6	0.000132152889851557	-0.0430312008024805	0.0432955065821836
mucin_context	median	-4.56134122913878	0.00301943033399689	-0.0351966682267171	0.0412355288947109
mucin_context	high (Q3)	-3.26084173939624	0.00562943273269521	-0.0398882866755671	0.0511471521409576
