analysis	table_id	mode	depth	top_label	sample_q	first_subject_q	first_subject_positive	first_subject_negative	bootstrap_iterations	bootstrap_consensus_rate	bootstrap_median_q	bootstrap_median_or	bootstrap_or_lo	bootstrap_or_hi	unique_subjects	repeated_subjects
uc_extent	S13A	Rebuilt	1	Bacteroides dorei	0.0719089700568967	0.727657817696164	25	35	1000	0.032	0.258993139329325	0.428571428571429	0.18407960199005	0.682539682539683	60	52
uc_extent	S13A	Rebuilt	2	Segatella sp.__Faecalibacterium prausnitzii	0.236740935689634	1	25	35	1000	0.002	0.872016068484739	2.33333333333333	1.46511627906977	5.43243243243243	60	52
uc_extent	S13A	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	0.0890988803515639	0.816562763815832	25	35	1000	0	1	0.450980392156863	0.262745098039216	0.450980392156863	60	52
uc_extent	S13A	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	0.108191497569756	0.942187804402884	25	35	1000	0	1	0.450980392156863	0.262745098039216	0.450980392156863	60	52
uc_extent	S13A	AGP transfer	1	Faecalibacterium prausnitzii	0.186335311210881	0.925925925925926	25	35	1000	0	0.999084169698461	2.4468085106383	0.589941972920696	11.0444444444444	60	52
uc_extent	S13A	AGP transfer	2	Bacteroides dorei__Akkermansia muciniphila	0.332608779907924	1	25	35	1000	0	1	4.3469387755102	1.3921568627451	11.0444444444444	60	52
uc_extent	S13A	AGP transfer	3	Bacteroides dorei__Akkermansia muciniphila__Faecalibacterium prausnitzii	0.442019562772372	1	25	35	1000	0	1	4.3469387755102	1.3921568627451	11.0444444444444	60	52
uc_extent	S13A	AGP transfer	4	Bacteroides dorei__Akkermansia muciniphila__Faecalibacterium prausnitzii	0.406585511241132	1	25	35	1000	0	1	4.3469387755102	1.35294117647059	10.7411111111111	60	52
cd_location	S13B	Rebuilt	1	Bacteroides dorei	0.18188078217547	0.707559858652076	31	18	1000	0	0.742606916843488	1.01379310344828	0.462365591397849	1.96296296296296	49	38
cd_location	S13B	Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	4.40227133721389e-05	0.0424193623642885	31	18	1000	0.496	0.0601478498513052	0.129943502824859	0.0243386243386243	0.399129172714078	49	38
cd_location	S13B	Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	6.60340700582084e-05	0.0636290435464327	31	18	1000	0.339	0.09288594237173	0.129943502824859	0.0196078431372549	0.395711500974659	49	38
cd_location	S13B	Rebuilt	4	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	0.0186499964763739	0.487190620929223	31	18	1000	0.023	0.49072098774755	0.158469945355191	0.0511463844797178	0.573770491803279	49	38
cd_location	S13B	AGP transfer	1	Faecalibacterium prausnitzii	0.00101809245349727	1	31	18	1000	0.007	0.842295208567226	0.158469945355191	0.038961038961039	0.59288220551378	49	38
cd_location	S13B	AGP transfer	2	Bacteroides ovatus__Bacteroides dorei	0.29731318348162	1	31	18	1000	0	1	3.13559322033898	0.587301587301587	6.28301886792453	49	38
cd_location	S13B	AGP transfer	3	Bifidobacterium breve__Bacteroides dorei	0.568794517474664	1	31	18	1000	0	1	2.51633986928105	0.636363636363636	7.98039215686275	49	38
cd_location	S13B	AGP transfer	4	Bifidobacterium breve__Bacteroides dorei	0.574009558936792	1	31	18	1000	0	1	2.37254901960784	0.905664585191793	7.54901960784314	49	38
cd_calprotectin	S13C	Rebuilt	1	Bacteroides dorei	0.139054786452149	1	26	23	1000	0.002	0.725202447472273	1.34757834757835	0.557865780218721	2.75903866248694	49	38
cd_calprotectin	S13C	Rebuilt	2	Bacteroides dorei__Bacteroides uniformis	0.176080019613054	0.616261398176292	26	23	1000	0.114	0.370078461864706	4.10344827586207	1.64808362369338	24.0909090909091	49	38
cd_calprotectin	S13C	Rebuilt	3	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	0.0439870169772572	1	26	23	1000	0	0.974728614850196	0.488372093023256	0.197860962566845	3	49	38
cd_calprotectin	S13C	Rebuilt	4	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	0.0537619096388699	1	26	23	1000	0	1	0.505882352941176	0.197860962566845	2.77058823529411	49	38
cd_calprotectin	S13C	AGP transfer	1	Bacteroides fragilis	0.477252822409669	1	26	23	1000	0	1	0.34453781512605	0.0893246187363835	1.13333333333333	49	38
cd_calprotectin	S13C	AGP transfer	2	Segatella sp.__Bacteroides dorei	0.455671051983535	1	26	23	1000	0	1	0.183673469387755	0.103641456582633	0.877551020408163	49	38
cd_calprotectin	S13C	AGP transfer	3	Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii	1	1	26	23	1000	0	1	0.20233918128655	0.129824561403509	0.804106548279689	49	38
cd_calprotectin	S13C	AGP transfer	4	Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii__Agathobacter faecis	0.941117527699474	1	26	23	1000	0	1	0.290780141843972	0.14277628032345	1.08888888888889	49	38
