q	depth	n0	n_retained_lineage_sets	retained_sample_share
0.5	1	15	72	0.98900627269726
0.6	1	23	56	0.979035985473754
0.7	1	40	42	0.964443710795642
0.75	1	58	35	0.952888742159128
0.8	1	82	28	0.93641465830307
0.9	1	234	14	0.868801584681413
0.95	1	588	7	0.774513040607461
0.975	1	1449	4	0.681710135358204
0.99	1	4913	2	0.568339385935953
0.5	2	2	1016	0.97137669197755
0.6	2	2	1016	0.97137669197755
0.7	2	4	573	0.936546715087488
0.75	2	5	487	0.9251898316276
0.8	2	6	428	0.915450643776824
0.9	2	17	190	0.844139980191482
0.95	2	39	97	0.769362826015187
0.975	2	90	48	0.674116870254209
0.99	2	226	19	0.538560581049851
0.5	3	1	7248	1
0.6	3	1	7248	1
0.7	3	2	2514	0.843700475435816
0.75	3	2	2514	0.843700475435816
0.8	3	3	1527	0.778526148969889
0.9	3	5	876	0.705923137876387
0.95	3	12	369	0.592115689381934
0.975	3	22	184	0.496302165874274
0.99	3	51	73	0.384772847332277
0.5	4	1	15872	1
0.6	4	1	15872	1
0.7	4	1	15872	1
0.75	4	1	15872	1
0.8	4	2	3553	0.58684642988899
0.9	4	3	1760	0.466579468088674
0.95	4	5	867	0.367173089177315
0.975	4	8	447	0.286413790790489
0.99	4	15	165	0.191166113291076
0.5	5	1	24514	1
0.6	5	1	24514	1
0.7	5	1	24514	1
0.75	5	1	24514	1
0.8	5	1	24514	1
0.9	5	2	2756	0.268515716927215
0.95	5	2	2756	0.268515716927215
0.975	5	3	978	0.148966212808875
0.99	5	5	302	0.0746007732391999
0.5	6	1	28563	1
0.6	6	1	28563	1
0.7	6	1	28563	1
0.75	6	1	28563	1
0.8	6	1	28563	1
0.9	6	1	28563	1
0.95	6	1	28563	1
0.975	6	2	1005	0.0734626634838449
0.99	6	2	1005	0.0734626634838449
